name,hd_lossy,hd_fragmented,hd_lossless,custom_8_bit_rgb
,,,,
# (11.2.1),,,,
level,unconstrained,unconstrained,unconstrained,unconstrained
profile,high_quality,high_quality,high_quality,high_quality
,,,,
# (11.1),,,,
base_video_format,hd1080p_50,hd1080p_50,hd1080p_50,hd1080p_50
picture_coding_mode,pictures_are_frames,pictures_are_frames,pictures_are_frames,pictures_are_frames
,,,,
# (11.4.3),,,,
frame_width,default,default,default,640
frame_height,default,default,default,480
,,,,
# (11.4.4),,,,
color_diff_format_index,default,default,default,color_4_4_4
,,,,
# (11.4.5),,,,
source_sampling,default,default,default,progressive
top_field_first,default,default,default,TRUE
,,,,
# (11.4.6),,,,
frame_rate_numer,default,default,default,25
frame_rate_denom,default,default,default,1
,,,,
# (11.4.7),,,,
pixel_aspect_ratio_numer,default,default,default,1
pixel_aspect_ratio_denom,default,default,default,1
,,,,
# (11.4.8),,,,
clean_width,default,default,default,640
clean_height,default,default,default,480
left_offset,default,default,default,0
top_offset,default,default,default,0
,,,,
# (11.4.9),,,,
luma_offset,default,default,default,0
luma_excursion,default,default,default,255
color_diff_offset,default,default,default,0
color_diff_excursion,default,default,default,255
,,,,
# (11.4.10),,,,
color_primaries_index,default,default,default,hdtv
color_matrix_index,default,default,default,rgb
transfer_function_index,default,default,default,tv_gamma
,,,,
# (12.4.1) and (12.4.4.1),,,,
wavelet_index,le_gall_5_3,le_gall_5_3,le_gall_5_3,le_gall_5_3
wavelet_index_ho,le_gall_5_3,le_gall_5_3,le_gall_5_3,le_gall_5_3
dwt_depth,2,2,2,2
dwt_depth_ho,0,0,0,0
,,,,
# (12.4.5.2),,,,
slices_x,240,240,240,80
slices_y,135,135,135,60
,,,,
"# Slice size, etc.",,,,
lossless,FALSE,FALSE,TRUE,FALSE
picture_bytes,1296000,1296000,,230400
fragment_slice_count,0,8,0,0
,,,,
# (12.4.5.3),,,,
quantization_matrix,default,default,default,4 2 2 0 4 4 2
