# (15.4.4.3) Filter definitions taken from (Tables 15.1 to 15.6),,,,,,,,,,,,,,
,# Informative (but used for enum names),,,,,,,,,,,,,
index,name,frame_width,frame_height,color_diff_format_index,source_sampling,top_field_first,frame_rate_index,pixel_aspect_ratio_index,clean_width,clean_height,left_offset,top_offset,signal_range_index,color_spec_index
0,custom_format,640,480,4:2:0,0,FALSE,1,1,640,480,0,0,1,0
1,qsif525,176,120,4:2:0,0,FALSE,9,2,176,120,0,0,1,1
2,qcif,176,144,4:2:0,0,TRUE,10,3,176,144,0,0,1,2
3,sif525,352,240,4:2:0,0,FALSE,9,2,352,240,0,0,1,1
4,cif,352,288,4:2:0,0,TRUE,10,3,352,288,0,0,1,2
5,foursif525,704,480,4:2:0,0,FALSE,9,2,704,480,0,0,1,1
6,foursif,704,576,4:2:0,0,TRUE,10,3,704,576,0,0,1,2
7,sd_480i_60,720,480,4:2:2,1,FALSE,4,2,704,480,8,0,3,1
8,sd576i_50,720,576,4:2:2,1,TRUE,3,3,704,576,8,0,3,2
9,hd720p_60,1280,720,4:2:2,0,TRUE,7,1,1280,720,0,0,3,3
10,hd720p_50,1280,720,4:2:2,0,TRUE,6,1,1280,720,0,0,3,3
11,hd1080i_60,1920,1080,4:2:2,1,TRUE,4,1,1920,1080,0,0,3,3
12,hd1080i_50,1920,1080,4:2:2,1,TRUE,3,1,1920,1080,0,0,3,3
13,hd1080p_60,1920,1080,4:2:2,0,TRUE,7,1,1920,1080,0,0,3,3
14,hd1080p_50,1920,1080,4:2:2,0,TRUE,6,1,1920,1080,0,0,3,3
15,dc2k,2048,1080,4:4:4,0,TRUE,2,1,2048,1080,0,0,4,4
16,dc4k,4096,2160,4:4:4,0,TRUE,2,1,4096,2160,0,0,4,4
17,uhdtv4k_60,3840,2160,4:2:2,0,TRUE,7,1,3840,2160,0,0,3,5
18,uhdtv4k_50,3840,2160,4:2:2,0,TRUE,6,1,3840,2160,0,0,3,5
19,uhdtv8k_60,7680,4320,4:2:2,0,TRUE,7,1,7680,4320,0,0,3,5
20,uhdtv8k_50,7680,4320,4:2:2,0,TRUE,6,1,7680,4320,0,0,3,5
21,hd1080p-24,1920,1080,4:2:2,0,TRUE,1,1,1920,1080,0,0,3,3
22,sd_pro486,720,486,4:2:2,1,FALSE,4,2,720,486,0,0,3,3
